audio_path,text,start,end
data/TRAIN/DR4/MCSS0/SX300.WAV,amoebas,2240,10750
data/TRAIN/DR4/MCSS0/SX300.WAV,change,10750,17253
data/TRAIN/DR4/MCSS0/SX300.WAV,shape,17253,24660
data/TRAIN/DR4/MCSS0/SX300.WAV,constantly,24660,34600
data/TRAIN/DR4/MCSS0/SX210.WAV,jeffs,2220,7520
data/TRAIN/DR4/MCSS0/SX210.WAV,toy,7520,12760
data/TRAIN/DR4/MCSS0/SX210.WAV,go,12760,16880
data/TRAIN/DR4/MCSS0/SX210.WAV,cart,16880,22291
data/TRAIN/DR4/MCSS0/SX210.WAV,never,22291,27947
data/TRAIN/DR4/MCSS0/SX210.WAV,worked,27947,35383
data/TRAIN/DR4/MCSS0/SI750.WAV,add,2160,5085
data/TRAIN/DR4/MCSS0/SI750.WAV,a,5085,5973
data/TRAIN/DR4/MCSS0/SI750.WAV,few,5973,10193
data/TRAIN/DR4/MCSS0/SI750.WAV,caraway,10193,19540
data/TRAIN/DR4/MCSS0/SI750.WAV,seeds,19540,27362
data/TRAIN/DR4/MCSS0/SI750.WAV,too,27362,31331
data/TRAIN/DR4/MCSS0/SI750.WAV,if,31331,34506
data/TRAIN/DR4/MCSS0/SI750.WAV,youd,34506,36637
data/TRAIN/DR4/MCSS0/SI750.WAV,like,36637,42200
data/TRAIN/DR4/MCSS0/SI1380.WAV,there,2181,5681
data/TRAIN/DR4/MCSS0/SI1380.WAV,is,5681,8187
data/TRAIN/DR4/MCSS0/SI1380.WAV,little,8187,13080
data/TRAIN/DR4/MCSS0/SI1380.WAV,doubt,13080,19640
data/TRAIN/DR4/MCSS0/SI1380.WAV,that,19640,22190
data/TRAIN/DR4/MCSS0/SI1380.WAV,the,22190,23110
data/TRAIN/DR4/MCSS0/SI1380.WAV,students,23110,30872
data/TRAIN/DR4/MCSS0/SI1380.WAV,benefit,30872,39728
data/TRAIN/DR4/MCSS0/SI1380.WAV,from,39728,43632
data/TRAIN/DR4/MCSS0/SI1380.WAV,vocational,43632,55140
data/TRAIN/DR4/MCSS0/SI1380.WAV,education,55140,66120
data/TRAIN/DR4/MCSS0/SX390.WAV,he,1879,4280
data/TRAIN/DR4/MCSS0/SX390.WAV,picked,4280,9930
data/TRAIN/DR4/MCSS0/SX390.WAV,up,9930,12931
data/TRAIN/DR4/MCSS0/SX390.WAV,nine,12931,18200
